,SIEMENS.NS,SUNPHARMA.NS,DRREDDY.NS,GRASIM.NS,GAIL.NS,ONGC.NS,ULTRACEMCO.NS,HDFCBANK.NS,RELIANCE.NS,INDUSINDBK.NS,WIPRO.NS,VEDL.NS,EICHERMOT.NS,AMBUJACEM.NS,ICICIBANK.NS,INFY.NS,ASIANPAINT.NS,LT.NS,BRITANNIA.NS,BHARTIARTL.NS,HINDUNILVR.NS,MARUTI.NS,HEROMOTOCO.NS,TITAN.NS,SBIN.NS,TCS.NS,NESTLEIND.NS,M&M.NS,TATASTEEL.NS,JSWSTEEL.NS,DIVISLAB.NS,BOSCHLTD.NS,NTPC.NS,BPCL.NS,ITC.NS,IOC.NS,KOTAKBANK.NS
SIEMENS.NS,1.0,0.21773507279458637,0.06492672753274599,0.09685616419454686,0.09845927774093484,0.3312403027854835,0.37197015077751217,0.4034020913147942,0.1540536843287283,0.39349266765896834,0.3066192116871396,0.35738861470861955,0.05431026633310881,0.3696193529081976,0.44892340306885414,0.2596136533442736,0.26269357681168654,0.4218880216194717,0.23120683919777246,0.3170604546614526,0.27562623401093367,0.39385936865668353,0.27404934314209756,0.3282954415278522,0.4592961366324659,0.2005034576708285,0.103443491240006,0.3106777314471214,0.38738658508780305,0.43056267195217646,0.3298064502083912,0.28341028433501897,0.3558865737775051,0.08693233767552436,0.2960795128612131,0.08399346124844756,0.4216776185821653
SUNPHARMA.NS,0.21773507279458637,1.0,0.08716973151565938,0.06630594242505414,0.058516270884040045,0.19327280180731907,0.22483542181056135,0.24435857714409956,0.08988130002683281,0.19987191510328242,0.2461962150688586,0.20448882164567114,0.026660841640136785,0.2188252856465746,0.24087786619980991,0.21140799467646168,0.17488443485555574,0.19150627357306826,0.14820742054461009,0.23307133078015868,0.20742443743149935,0.1933599263101418,0.2166530940621107,0.17797501399254717,0.2126262955673183,0.161076856394542,0.09708394089645053,0.19482593128297218,0.2125059929033103,0.2165689047969585,0.26201244714755484,0.1656562362594919,0.230316425506391,0.04525965686434035,0.24246985670336899,0.041395542812750756,0.2120638674938638
DRREDDY.NS,0.06492672753274599,0.08716973151565938,1.0,0.9459200031498541,0.9260135911257893,0.3901515621572409,0.0652670849824651,0.0670070450663137,0.915296382585069,0.0516098584943968,0.07308240852699255,0.056059599419486766,0.9447850248664651,0.06041928243561416,0.13268968757588961,0.06511274228220527,0.048388621303615986,0.04834556217182382,0.047442197485731016,0.13088226541004128,0.06766443817196752,0.05763346370541521,0.050914732355524774,0.056025955374741816,0.054952395840107006,0.6598576481482445,0.03057230747836775,0.6075072164386864,0.06246220401723206,0.0649483624262293,0.09407133871417797,0.05072333281386271,0.061986874383731454,0.9262850739716607,0.0807580180591571,0.9328766213565391,0.03775398467535221
GRASIM.NS,0.09685616419454686,0.06630594242505414,0.9459200031498541,1.0,0.9493106459323788,0.41404096451672073,0.13143222990224973,0.09883719517235112,0.9349587703220748,0.07964596595835309,0.07281838387588463,0.0833005819510355,0.966253537632358,0.12279879962710442,0.16482694959450422,0.05828107260074853,0.06667973856347238,0.08379869873395597,0.04924451818828246,0.16068305032993133,0.06777578687374393,0.09908216238724186,0.07287328353529658,0.07533692592909506,0.101790722814144,0.6595302006871328,0.028864842498164386,0.634444525585504,0.09234319500870865,0.09732695100625037,0.07608059871321232,0.0684771731933931,0.08857905721463073,0.9497984452215622,0.09815267585234061,0.9543559279854489,0.06658043662853395
GAIL.NS,0.09845927774093484,0.058516270884040045,0.9260135911257893,0.9493106459323788,1.0,0.46635977961837527,0.09697534870897559,0.09684738329524056,0.9280118949675934,0.08039294790632454,0.07864359971056298,0.10053922149203302,0.944877625739725,0.09850568628208127,0.17393862073454006,0.06424735825517634,0.05589189092988183,0.08738001952923823,0.044626675405465124,0.16213237358005309,0.06403858544572893,0.09411080460903241,0.0742062937092356,0.08797388273580563,0.11305626075849423,0.6605996190674768,0.021605523502390398,0.6314102927761017,0.10405517574812535,0.10727040834704442,0.08234898816728566,0.06897982622570317,0.12144476352888013,0.9409391256163745,0.11128307370839814,0.9459163913839297,0.07108201181086016
ONGC.NS,0.3312403027854835,0.19327280180731907,0.3901515621572409,0.41404096451672073,0.46635977961837527,1.0,0.2916365982407457,0.3341111901173818,0.4825871748773612,0.287182256889539,0.2730207988832077,0.32864765059799367,0.3693743401355955,0.27261797348435723,0.4044903235847681,0.2162846377053687,0.16636466548980833,0.3003347881053935,0.13502084785968457,0.3153282037965489,0.21418336991245626,0.29613970093096786,0.22797099214826294,0.25723462137452807,0.37569578947085763,0.43408987820613926,0.08407191947323296,0.4885058799994212,0.330767812724747,0.3377494104434904,0.23606840921246172,0.20933547263337524,0.38821495439114245,0.4287674348399982,0.287280705062119,0.43522163367816596,0.3032647944140261
ULTRACEMCO.NS,0.37197015077751217,0.22483542181056135,0.0652670849824651,0.13143222990224973,0.09697534870897559,0.2916365982407457,1.0,0.37861913443093137,0.14584697362258228,0.34335749319626063,0.26951683341843646,0.31417388897729104,0.05282739668150131,0.5320841334274926,0.39615622328832256,0.23528125250854526,0.3032696875420495,0.33770564270524095,0.22423039383081017,0.2932555352823953,0.2762671227160439,0.3791269647193591,0.3082723838275722,0.28365500492107765,0.39098598658371664,0.20236543296251558,0.1372739459997049,0.31545166300319033,0.338400837230573,0.38011627495137057,0.2844611023341848,0.258621340498981,0.3297493730390484,0.08537641343581528,0.29350008144228856,0.07960952527991441,0.3605939432736949
HDFCBANK.NS,0.4034020913147942,0.24435857714409956,0.0670070450663137,0.09883719517235112,0.09684738329524056,0.3341111901173818,0.37861913443093137,1.0,0.17733964378658232,0.465455986326905,0.34686113636352006,0.3259316245622063,0.052446318181864994,0.3492869306064096,0.6116631499434539,0.3369170298504012,0.26672430136484865,0.4271721420970441,0.19197964181834737,0.3572313114555761,0.28412070512707716,0.40068917284611477,0.327880303441353,0.3309850387565849,0.5115162780357833,0.26104000944598,0.11151935019820812,0.34796667319801544,0.3600194653378061,0.40221652416396697,0.27807125792995924,0.25915133381880523,0.36728750389184533,0.08319473859424978,0.35211500616986885,0.07637533203517281,0.5452442255943304
RELIANCE.NS,0.1540536843287283,0.08988130002683281,0.915296382585069,0.9349587703220748,0.9280118949675934,0.4825871748773612,0.14584697362258228,0.17733964378658232,1.0,0.12992291951237211,0.13743516082112894,0.14493484418920366,0.9257319500911801,0.15427982976831253,0.25181330115658257,0.1247039631216346,0.09900574472189035,0.1420336021520773,0.08292325594560869,0.21891598473184273,0.10557789345975563,0.14664475946037916,0.11234536257873337,0.1315236274986415,0.16701658903760483,0.7011962094121625,0.04979246853815552,0.6682924287948439,0.16126202756852126,0.16633409523430429,0.1237283440930696,0.09040792562064451,0.14800572074760765,0.9213706623502764,0.1415312795442494,0.924375724355143,0.14731649996548787
INDUSINDBK.NS,0.39349266765896834,0.19987191510328242,0.0516098584943968,0.07964596595835309,0.08039294790632454,0.287182256889539,0.34335749319626063,0.465455986326905,0.12992291951237211,1.0,0.2650268349260626,0.32243305860234667,0.04446472207095959,0.3405463375757746,0.494686156389941,0.24481949894212315,0.2541959808835983,0.4005505510746804,0.23070131359676346,0.29442335577958,0.2646124722573968,0.37192281040622915,0.28258480213338155,0.3645943745970382,0.4879859482275525,0.18450854983864048,0.11072478850457997,0.31093612895077,0.35298509188611826,0.39298388507057364,0.3179303121218676,0.25581416701076165,0.36572827536840213,0.07009559499491663,0.2849784085323824,0.07126740414416177,0.4781563980432771
WIPRO.NS,0.3066192116871396,0.2461962150688586,0.07308240852699255,0.07281838387588463,0.07864359971056298,0.2730207988832077,0.26951683341843646,0.34686113636352006,0.13743516082112894,0.2650268349260626,1.0,0.27846884887593254,0.03226689503082809,0.30907135573629396,0.36469349739084733,0.5873795385858928,0.1901402427298319,0.28756355630985814,0.16008711755051314,0.30039108036540657,0.2643936732154982,0.30449779881860195,0.255442490391684,0.27151275924604706,0.2962761912676512,0.4399333024755612,0.11045287355188373,0.2760814780798738,0.304515620619347,0.30549347239114155,0.26997819281854485,0.17550716842558778,0.2822215696965049,0.05202770531176217,0.2897830022223748,0.0501785523907037,0.29508919117528026
VEDL.NS,0.35738861470861955,0.20448882164567114,0.056059599419486766,0.0833005819510355,0.10053922149203302,0.32864765059799367,0.31417388897729104,0.3259316245622063,0.14493484418920366,0.32243305860234667,0.27846884887593254,1.0,0.04408425541727724,0.3242758551177487,0.4005360982941704,0.2608492407871805,0.19895549325395936,0.3271532244036137,0.17546656212207498,0.2905637558336034,0.1930257493546236,0.30557587423930493,0.26271804434620216,0.3005759246095573,0.3976838309748162,0.19156305452291786,0.10232041038046487,0.2655169349700017,0.4744283151935017,0.49029970563781533,0.26460485266019557,0.23160330317878608,0.34927280310122677,0.06686054249647806,0.2761148834347932,0.07216258641482605,0.3422409343279531
EICHERMOT.NS,0.05431026633310881,0.026660841640136785,0.9447850248664651,0.966253537632358,0.944877625739725,0.3693743401355955,0.05282739668150131,0.052446318181864994,0.9257319500911801,0.04446472207095959,0.03226689503082809,0.04408425541727724,1.0,0.050449590654656325,0.12010451606185077,0.02972104981560259,0.0428236795211696,0.042807839528937845,0.03776160690507814,0.11648367863446937,0.03782968312853564,0.060814915830142625,0.04517407781143085,0.048154076051821995,0.054787911529684666,0.6322301753021803,0.01723805241164465,0.6034754376958992,0.047924689570630334,0.060874142298826595,0.04833582250442357,0.05464152796051092,0.04947516945580071,0.9491629742181056,0.06065074835235892,0.9564246984847632,0.024715977125650695
AMBUJACEM.NS,0.3696193529081976,0.2188252856465746,0.06041928243561416,0.12279879962710442,0.09850568628208127,0.27261797348435723,0.5320841334274926,0.3492869306064096,0.15427982976831253,0.3405463375757746,0.30907135573629396,0.3242758551177487,0.050449590654656325,1.0,0.40682273482608683,0.25323005489872125,0.2651137187149622,0.32477165842141875,0.19471315357342472,0.3139441593609722,0.2757305931971125,0.3651735836695049,0.297733716187286,0.2878728256824456,0.4056713179616592,0.2045759833364101,0.13431475230462805,0.31070563540466856,0.35446308447397534,0.3684864371646022,0.2626484824741421,0.2326527586570922,0.3469280826643593,0.08720932187687423,0.28938513326404863,0.0778610650625374,0.3439471738489632
ICICIBANK.NS,0.44892340306885414,0.24087786619980991,0.13268968757588961,0.16482694959450422,0.17393862073454006,0.4044903235847681,0.39615622328832256,0.6116631499434539,0.25181330115658257,0.494686156389941,0.36469349739084733,0.4005360982941704,0.12010451606185077,0.40682273482608683,1.0,0.3431567528107019,0.26190342912893566,0.4773665072705632,0.19977320872410287,0.40440300748852154,0.2795024743818513,0.43729233811621665,0.3165123148453488,0.3623263972584877,0.6622422953466806,0.31278559618533797,0.11101662351113432,0.4098049109806874,0.4441896224079292,0.4682791656354396,0.3366696268880814,0.25995758389029605,0.3998881251800194,0.15194348161969717,0.3380836693510581,0.1469025032634758,0.5348396987471334
INFY.NS,0.2596136533442736,0.21140799467646168,0.06511274228220527,0.05828107260074853,0.06424735825517634,0.2162846377053687,0.23528125250854526,0.3369170298504012,0.1247039631216346,0.24481949894212315,0.5873795385858928,0.2608492407871805,0.02972104981560259,0.25323005489872125,0.3431567528107019,1.0,0.1658509864440277,0.2699390288547284,0.1597784631511887,0.2709686032526513,0.22183051410257723,0.254257478626154,0.23380934270568132,0.25015917454231107,0.2604977562170397,0.45572882703953127,0.12348546170724366,0.22368831272259493,0.2725342256896223,0.2830448014350993,0.2523084189019679,0.16669510696709927,0.24387195447758292,0.04112214596638488,0.23843347637391293,0.039992760506553884,0.28462773069231556
ASIANPAINT.NS,0.26269357681168654,0.17488443485555574,0.048388621303615986,0.06667973856347238,0.05589189092988183,0.16636466548980833,0.3032696875420495,0.26672430136484865,0.09900574472189035,0.2541959808835983,0.1901402427298319,0.19895549325395936,0.0428236795211696,0.2651137187149622,0.26190342912893566,0.1658509864440277,1.0,0.23204519804782758,0.2332263696191751,0.1994432832188679,0.26130509503688676,0.29899239549290585,0.22292588868996457,0.2526623550545582,0.23946718614639176,0.1288339815286107,0.1912861598215656,0.19873149372032312,0.23222603068242254,0.2510760856076503,0.21437751847927194,0.218558331354784,0.17476708578484426,0.06384306728513318,0.2131211450974623,0.05781014723432264,0.260976385087076
LT.NS,0.4218880216194717,0.19150627357306826,0.04834556217182382,0.08379869873395597,0.08738001952923823,0.3003347881053935,0.33770564270524095,0.4271721420970441,0.1420336021520773,0.4005505510746804,0.28756355630985814,0.3271532244036137,0.042807839528937845,0.32477165842141875,0.4773665072705632,0.2699390288547284,0.23204519804782758,1.0,0.19511247538894225,0.29116884896827977,0.21995832172964147,0.3380161990196755,0.2726871066113611,0.29373028848684835,0.45392466235834456,0.1941914850740061,0.08647886981398414,0.31002560215054986,0.35484941492386884,0.3610269952042776,0.272712363494617,0.23051831215269075,0.33324063553326566,0.07106352569905526,0.26423475678742464,0.06758648183602994,0.4274097423542398
BRITANNIA.NS,0.23120683919777246,0.14820742054461009,0.047442197485731016,0.04924451818828246,0.044626675405465124,0.13502084785968457,0.22423039383081017,0.19197964181834737,0.08292325594560869,0.23070131359676346,0.16008711755051314,0.17546656212207498,0.03776160690507814,0.19471315357342472,0.19977320872410287,0.1597784631511887,0.2332263696191751,0.19511247538894225,1.0,0.15495491210557627,0.2629128441098036,0.23334957378030566,0.2059932648998205,0.22047454298652577,0.2111986110183944,0.11474690152956615,0.2039546025478506,0.15585850676879695,0.19495161361427257,0.21290605534788262,0.1781343278462272,0.20637369575427486,0.17393010502860815,0.04423246112837362,0.1459836000328169,0.042564124768279,0.20982911168781415
BHARTIARTL.NS,0.3170604546614526,0.23307133078015868,0.13088226541004128,0.16068305032993133,0.16213237358005309,0.3153282037965489,0.2932555352823953,0.3572313114555761,0.21891598473184273,0.29442335577958,0.30039108036540657,0.2905637558336034,0.11648367863446937,0.3139441593609722,0.40440300748852154,0.2709686032526513,0.1994432832188679,0.29116884896827977,0.15495491210557627,1.0,0.2297558146709812,0.3101733088319718,0.27311100232172086,0.2518930298127926,0.35003105204784496,0.2668363671051423,0.10166353650084853,0.3137316449142011,0.28936507221248586,0.31188958299549957,0.25249364298332,0.16811302187005758,0.3094324328155172,0.15145640649231037,0.2661548583391279,0.13784464440110195,0.29661743377651145
HINDUNILVR.NS,0.27562623401093367,0.20742443743149935,0.06766443817196752,0.06777578687374393,0.06403858544572893,0.21418336991245626,0.2762671227160439,0.28412070512707716,0.10557789345975563,0.2646124722573968,0.2643936732154982,0.1930257493546236,0.03782968312853564,0.2757305931971125,0.2795024743818513,0.22183051410257723,0.26130509503688676,0.21995832172964147,0.2629128441098036,0.2297558146709812,1.0,0.3145157161618939,0.27002968882131,0.2582119545138746,0.24269881066469087,0.18813090931217238,0.21347693682793384,0.21875860109677894,0.22492432666799475,0.21842637851271024,0.24467444956527967,0.170308247303389,0.2581989589051003,0.05820207619104538,0.3424361315118742,0.048315205030745746,0.2661333980572918
MARUTI.NS,0.39385936865668353,0.1933599263101418,0.05763346370541521,0.09908216238724186,0.09411080460903241,0.29613970093096786,0.3791269647193591,0.40068917284611477,0.14664475946037916,0.37192281040622915,0.30449779881860195,0.30557587423930493,0.060814915830142625,0.3651735836695049,0.43729233811621665,0.254257478626154,0.29899239549290585,0.3380161990196755,0.23334957378030566,0.3101733088319718,0.3145157161618939,1.0,0.42325033119059835,0.3467166741073906,0.4430782761727816,0.21083875074262823,0.1301402174987395,0.3849646653924949,0.34936573819368205,0.36948947279640165,0.2841377779949594,0.289162890737204,0.34500737248814184,0.08408688946966297,0.29369891593844283,0.07514699980343639,0.3846021019944723
HEROMOTOCO.NS,0.27404934314209756,0.2166530940621107,0.050914732355524774,0.07287328353529658,0.0742062937092356,0.22797099214826294,0.3082723838275722,0.327880303441353,0.11234536257873337,0.28258480213338155,0.255442490391684,0.26271804434620216,0.04517407781143085,0.297733716187286,0.3165123148453488,0.23380934270568132,0.22292588868996457,0.2726871066113611,0.2059932648998205,0.27311100232172086,0.27002968882131,0.42325033119059835,1.0,0.2555404482180039,0.3177806274139194,0.18818849089654652,0.11768753712961474,0.29611245958076127,0.2587799469463541,0.2722797132177906,0.20219437497130627,0.21116540435867698,0.24525677325294526,0.07147538360295667,0.2689295082867047,0.06533882491926626,0.26967797453541165
TITAN.NS,0.3282954415278522,0.17797501399254717,0.056025955374741816,0.07533692592909506,0.08797388273580563,0.25723462137452807,0.28365500492107765,0.3309850387565849,0.1315236274986415,0.3645943745970382,0.27151275924604706,0.3005759246095573,0.048154076051821995,0.2878728256824456,0.3623263972584877,0.25015917454231107,0.2526623550545582,0.29373028848684835,0.22047454298652577,0.2518930298127926,0.2582119545138746,0.3467166741073906,0.2555404482180039,1.0,0.3421559037940924,0.2174854846476732,0.13603440803411465,0.25904512671006974,0.30875874091498934,0.3358440720883735,0.30023533592805446,0.22042260169009792,0.3173168717624612,0.06434586689862341,0.29029191523875586,0.06932502805417551,0.3380683013378251
SBIN.NS,0.4592961366324659,0.2126262955673183,0.054952395840107006,0.101790722814144,0.11305626075849423,0.37569578947085763,0.39098598658371664,0.5115162780357833,0.16701658903760483,0.4879859482275525,0.2962761912676512,0.3976838309748162,0.054787911529684666,0.4056713179616592,0.6622422953466806,0.2604977562170397,0.23946718614639176,0.45392466235834456,0.2111986110183944,0.35003105204784496,0.24269881066469087,0.4430782761727816,0.3177806274139194,0.3421559037940924,1.0,0.20464762891676594,0.09421955125370828,0.3461817062981018,0.43456806386413116,0.4380243839900817,0.31746505622220983,0.2665282961345869,0.4143313534084678,0.09951131832293546,0.33960921988460774,0.09458196500529918,0.48035712476384207
TCS.NS,0.2005034576708285,0.161076856394542,0.6598576481482445,0.6595302006871328,0.6605996190674768,0.43408987820613926,0.20236543296251558,0.26104000944598,0.7011962094121625,0.18450854983864048,0.4399333024755612,0.19156305452291786,0.6322301753021803,0.2045759833364101,0.31278559618533797,0.45572882703953127,0.1288339815286107,0.1941914850740061,0.11474690152956615,0.2668363671051423,0.18813090931217238,0.21083875074262823,0.18818849089654652,0.2174854846476732,0.20464762891676594,1.0,0.08137269738440915,0.5781172658688918,0.21158053790240003,0.2120646624169492,0.21078586199382443,0.12479104723781224,0.20563379860752265,0.6431814085811178,0.23060293885003555,0.6455355268449273,0.20610445605320854
NESTLEIND.NS,0.103443491240006,0.09708394089645053,0.03057230747836775,0.028864842498164386,0.021605523502390398,0.08407191947323296,0.1372739459997049,0.11151935019820812,0.04979246853815552,0.11072478850457997,0.11045287355188373,0.10232041038046487,0.01723805241164465,0.13431475230462805,0.11101662351113432,0.12348546170724366,0.1912861598215656,0.08647886981398414,0.2039546025478506,0.10166353650084853,0.21347693682793384,0.1301402174987395,0.11768753712961474,0.13603440803411465,0.09421955125370828,0.08137269738440915,1.0,0.07928508185802799,0.08627222807642561,0.09748607994471654,0.10344756165201505,0.0893942373151543,0.08674868972964309,0.027380495901317015,0.0979975397737025,0.01791472706783398,0.09809183249294579
M&M.NS,0.3106777314471214,0.19482593128297218,0.6075072164386864,0.634444525585504,0.6314102927761017,0.4885058799994212,0.31545166300319033,0.34796667319801544,0.6682924287948439,0.31093612895077,0.2760814780798738,0.2655169349700017,0.6034754376958992,0.31070563540466856,0.4098049109806874,0.22368831272259493,0.19873149372032312,0.31002560215054986,0.15585850676879695,0.3137316449142011,0.21875860109677894,0.3849646653924949,0.29611245958076127,0.25904512671006974,0.3461817062981018,0.5781172658688918,0.07928508185802799,1.0,0.2974002821592151,0.3466044959032583,0.236419717129687,0.24588907967675022,0.27464662491426284,0.6163031657162396,0.27521416054833686,0.6136165675498646,0.31780747250759195
TATASTEEL.NS,0.38738658508780305,0.2125059929033103,0.06246220401723206,0.09234319500870865,0.10405517574812535,0.330767812724747,0.338400837230573,0.3600194653378061,0.16126202756852126,0.35298509188611826,0.304515620619347,0.4744283151935017,0.047924689570630334,0.35446308447397534,0.4441896224079292,0.2725342256896223,0.23222603068242254,0.35484941492386884,0.19495161361427257,0.28936507221248586,0.22492432666799475,0.34936573819368205,0.2587799469463541,0.30875874091498934,0.43456806386413116,0.21158053790240003,0.08627222807642561,0.2974002821592151,1.0,0.5761197770640675,0.29002887222248763,0.2267206683232946,0.3421167233915924,0.07166541128119243,0.2825870536483689,0.07106489197337329,0.359935001652745
JSWSTEEL.NS,0.43056267195217646,0.2165689047969585,0.0649483624262293,0.09732695100625037,0.10727040834704442,0.3377494104434904,0.38011627495137057,0.40221652416396697,0.16633409523430429,0.39298388507057364,0.30549347239114155,0.49029970563781533,0.060874142298826595,0.3684864371646022,0.4682791656354396,0.2830448014350993,0.2510760856076503,0.3610269952042776,0.21290605534788262,0.31188958299549957,0.21842637851271024,0.36948947279640165,0.2722797132177906,0.3358440720883735,0.4380243839900817,0.2120646624169492,0.09748607994471654,0.3466044959032583,0.5761197770640675,1.0,0.3254694352002016,0.27486391349822836,0.36257574499666917,0.07670427487578227,0.29886015769882424,0.07622502018319267,0.43422053708439434
DIVISLAB.NS,0.3298064502083912,0.26201244714755484,0.09407133871417797,0.07608059871321232,0.08234898816728566,0.23606840921246172,0.2844611023341848,0.27807125792995924,0.1237283440930696,0.3179303121218676,0.26997819281854485,0.26460485266019557,0.04833582250442357,0.2626484824741421,0.3366696268880814,0.2523084189019679,0.21437751847927194,0.272712363494617,0.1781343278462272,0.25249364298332,0.24467444956527967,0.2841377779949594,0.20219437497130627,0.30023533592805446,0.31746505622220983,0.21078586199382443,0.10344756165201505,0.236419717129687,0.29002887222248763,0.3254694352002016,1.0,0.19765682445403163,0.31445946471687325,0.05902260540948449,0.2289534874908525,0.06361265485747199,0.31094367986355936
BOSCHLTD.NS,0.28341028433501897,0.1656562362594919,0.05072333281386271,0.0684771731933931,0.06897982622570317,0.20933547263337524,0.258621340498981,0.25915133381880523,0.09040792562064451,0.25581416701076165,0.17550716842558778,0.23160330317878608,0.05464152796051092,0.2326527586570922,0.25995758389029605,0.16669510696709927,0.218558331354784,0.23051831215269075,0.20637369575427486,0.16811302187005758,0.170308247303389,0.289162890737204,0.21116540435867698,0.22042260169009792,0.2665282961345869,0.12479104723781224,0.0893942373151543,0.24588907967675022,0.2267206683232946,0.27486391349822836,0.19765682445403163,1.0,0.23304843612683512,0.05827109001271772,0.21422771174431646,0.06370137550218696,0.2378374241825652
NTPC.NS,0.3558865737775051,0.230316425506391,0.061986874383731454,0.08857905721463073,0.12144476352888013,0.38821495439114245,0.3297493730390484,0.36728750389184533,0.14800572074760765,0.36572827536840213,0.2822215696965049,0.34927280310122677,0.04947516945580071,0.3469280826643593,0.3998881251800194,0.24387195447758292,0.17476708578484426,0.33324063553326566,0.17393010502860815,0.3094324328155172,0.2581989589051003,0.34500737248814184,0.24525677325294526,0.3173168717624612,0.4143313534084678,0.20563379860752265,0.08674868972964309,0.27464662491426284,0.3421167233915924,0.36257574499666917,0.31445946471687325,0.23304843612683512,1.0,0.08995109082408494,0.31040825852839227,0.09524607169601441,0.3615043709644852
BPCL.NS,0.08693233767552436,0.04525965686434035,0.9262850739716607,0.9497984452215622,0.9409391256163745,0.4287674348399982,0.08537641343581528,0.08319473859424978,0.9213706623502764,0.07009559499491663,0.05202770531176217,0.06686054249647806,0.9491629742181056,0.08720932187687423,0.15194348161969717,0.04112214596638488,0.06384306728513318,0.07106352569905526,0.04423246112837362,0.15145640649231037,0.05820207619104538,0.08408688946966297,0.07147538360295667,0.06434586689862341,0.09951131832293546,0.6431814085811178,0.027380495901317015,0.6163031657162396,0.07166541128119243,0.07670427487578227,0.05902260540948449,0.05827109001271772,0.08995109082408494,1.0,0.0946563769743133,0.9736331121755748,0.054486218316335565
ITC.NS,0.2960795128612131,0.24246985670336899,0.0807580180591571,0.09815267585234061,0.11128307370839814,0.287280705062119,0.29350008144228856,0.35211500616986885,0.1415312795442494,0.2849784085323824,0.2897830022223748,0.2761148834347932,0.06065074835235892,0.28938513326404863,0.3380836693510581,0.23843347637391293,0.2131211450974623,0.26423475678742464,0.1459836000328169,0.2661548583391279,0.3424361315118742,0.29369891593844283,0.2689295082867047,0.29029191523875586,0.33960921988460774,0.23060293885003555,0.0979975397737025,0.27521416054833686,0.2825870536483689,0.29886015769882424,0.2289534874908525,0.21422771174431646,0.31040825852839227,0.0946563769743133,1.0,0.0887608541561734,0.31561666193215876
IOC.NS,0.08399346124844756,0.041395542812750756,0.9328766213565391,0.9543559279854489,0.9459163913839297,0.43522163367816596,0.07960952527991441,0.07637533203517281,0.924375724355143,0.07126740414416177,0.0501785523907037,0.07216258641482605,0.9564246984847632,0.0778610650625374,0.1469025032634758,0.039992760506553884,0.05781014723432264,0.06758648183602994,0.042564124768279,0.13784464440110195,0.048315205030745746,0.07514699980343639,0.06533882491926626,0.06932502805417551,0.09458196500529918,0.6455355268449273,0.01791472706783398,0.6136165675498646,0.07106489197337329,0.07622502018319267,0.06361265485747199,0.06370137550218696,0.09524607169601441,0.9736331121755748,0.0887608541561734,1.0,0.04839626096325339
KOTAKBANK.NS,0.4216776185821653,0.2120638674938638,0.03775398467535221,0.06658043662853395,0.07108201181086016,0.3032647944140261,0.3605939432736949,0.5452442255943304,0.14731649996548787,0.4781563980432771,0.29508919117528026,0.3422409343279531,0.024715977125650695,0.3439471738489632,0.5348396987471334,0.28462773069231556,0.260976385087076,0.4274097423542398,0.20982911168781415,0.29661743377651145,0.2661333980572918,0.3846021019944723,0.26967797453541165,0.3380683013378251,0.48035712476384207,0.20610445605320854,0.09809183249294579,0.31780747250759195,0.359935001652745,0.43422053708439434,0.31094367986355936,0.2378374241825652,0.3615043709644852,0.054486218316335565,0.31561666193215876,0.04839626096325339,1.0
